id,primaryName,birth_date,death_year
1341,Matthew Ashford,01/08/1960,NULL
1342,Gary Ashiya,15/06/1966,NULL
1343,Aaron Ashmore,14/02/1979,NULL
1344,Shawn Ashmore,07/02/1979,NULL
1345,Darren Ashton,11/03/1984,NULL
1346,Piers Ashworth,21/03/1972,NULL
1347,Radik Askarov,08/10/1964,NULL
1348,Michael Asmussen,03/10/1970,NULL
1349,Kumiko Asô,16/06/1978,NULL
1350,Yumi Asô,15/07/1963,NULL
1351,Richard Aspel,16/12/1978,NULL
1352,Martin Asphaug,21/03/1950,NULL
1353,David Aspinall,28/03/1975,NULL
1354,James Aspinall,28/12/1977,NULL
1355,David Assael,04/01/1980,NULL
1356,Aditya Assarat,19/02/1972,NULL
1357,Fabio Aste,16/06/1982,NULL
1358,Loli Astoreka,20/07/1958,NULL
1359,Joshua Astrachan,27/08/1975,NULL
1360,Dmitriy Astrakhan,18/02/1957,NULL
1361,Evan Astrowsky,03/04/1975,NULL
1362,Alexander Atanesyan,24/07/1953,NULL
1363,Kenneth Atchity,07/09/1944,NULL
1364,Nataly Attiya,16/06/1975,NULL
1365,Essence Atkins,05/02/1972,NULL
1366,Mark Atkins,14/10/1972,NULL
1367,Tyrone Atkins,14/11/1996,NULL
1368,Eric Atlan,24/10/1979,NULL
1369,Marie-Laurence Attias,03/08/1988,NULL
1370,Ferdi Atuner,24/10/1944,NULL
1371,Shmuel Atzmon,07/01/1929,NULL
1372,Jonathan Aube,20/09/1969,NULL
1373,René Aubry,15/06/1985,NULL
1374,Barbara Auer,06/08/1959,NULL
1375,Yuliya Aug,15/01/1970,NULL
1376,Jean-François Auger,19/06/1990,NULL
1377,John August,01/03/1970,NULL
1378,Sherman Augustus,21/05/1979,NULL
1379,Scott Aukerman,14/02/1970,NULL
1380,Nora Aunor,08/12/1953,NULL
1381,Ronald Austin,05/11/1934,NULL
1382,Serena Autieri,02/08/1976,NULL
1383,Dominique Auvray,27/11/1973,NULL
1384,Elizabeth Avellan,09/05/1960,NULL
1385,Brian Avenet-Bradley,09/02/1990,NULL
1386,Laurence Avenet-Bradley,10/11/1977,NULL
1387,Maksim Averin,07/04/1975,NULL
1388,Romen Avinian,01/07/1980,NULL
1389,Efrat Aviv,13/09/1982,NULL
1390,Uri Avrahami,11/09/1949,NULL
1391,Philippe Avril,18/04/1954,NULL
1392,Awie,20/05/1980,NULL
1393,Kerry Awn,27/04/1981,NULL
1394,Elias Axume,12/07/1979,NULL
1395,Nicki Aycox,06/07/1975,24/10/2022 0:00
1396,Reiko Aylesworth,13/10/1972,NULL
1397,Gloria Winship Ayon,17/11/1974,NULL
1398,Shane Ayon,19/09/1981,NULL
1399,Amal Ayouch,13/10/1980,NULL
1400,Mina Azarian,28/08/1959,NULL
1401,David Azcano,05/08/1971,NULL
1402,Alain Azerot,13/06/1977,NULL
1403,Bade Hj. Azmi,16/04/1976,NULL
1404,Raja Azmi,17/09/1985,NULL
1405,Tanvi Azmi,24/10/1963,NULL
1406,Sybil Azur,09/10/1979,NULL
1407,Sabine Azéma,05/09/1949,NULL
1408,Mikhail Babakhanov,18/02/1975,NULL
1409,Obba Babatundé,26/02/1951,NULL
1410,Jamie Babbit,11/05/1970,NULL
1411,Fabienne Babe,27/04/1962,NULL
1412,Ruzbeh Babol,18/08/1976,NULL
1413,Zachary Snygg,01/04/1976,NULL
1414,John Bach,24/11/1946,NULL
1415,Marat Basharov,06/01/1974,NULL
1416,Gabriela Bacher,02/05/1979,NULL
1417,Steve Bacic,11/05/1965,NULL
1418,Claire Hackett,25/10/1977,NULL
1419,Joanna Bacon,23/02/1984,NULL
1420,Michael Bacon,12/01/1949,NULL
1421,Jean-Pierre Bacri,16/04/1951,18/01/2021 0:00
1422,Bahram Badakshani,14/02/1976,NULL
1423,Michael Badalucco,21/08/1954,NULL
1424,Diedrich Bader,04/04/1966,NULL
1425,Klara Badiola,10/12/1954,NULL
1426,Reza Badiyi,23/10/1929,15/02/2011 0:00
1427,Annette Badland,23/12/1950,NULL
1428,Sawsan Badr,08/08/1957,NULL
1429,Sayed Badreya,22/08/1957,NULL
1430,Cindy Baer,01/01/1980,NULL
1431,Edouard Baer,12/01/1966,NULL
1432,Giacomo Baessato,24/03/1983,NULL
1433,Paloma Baeza,21/08/1975,NULL
1434,Micheal Bafaro,12/06/1972,NULL
1435,Raymond Bagatsing,09/06/1967,NULL
1436,Ross Bagdasarian Jr.,09/08/1949,NULL
1437,Ross Bagdasarian,19/06/1919,14/06/1972 0:00
1438,Lissa Baggaley,08/12/1987,NULL
1439,Jonas Bagger,26/11/1979,NULL
1440,Hicham Bahloul,16/02/1972,NULL
1441,Milan Bahúl,22/05/1960,NULL
1442,Wu Bai,26/07/1968,NULL
1443,G.W. Bailey,09/04/1944,NULL
1444,Jason Bailey,09/08/1975,NULL
1445,Kerry Bailey,13/12/1970,NULL
1446,Miranda Bailey,23/05/1977,NULL
1447,P. Scott Bailey,27/02/1975,NULL
1448,Scott Bailey,12/01/1982,NULL
1449,Barnet Bain,05/06/1981,NULL
1450,Bob Bainborough,01/08/1979,NULL
1451,Mariano Baino,20/01/1967,NULL
1452,Vonn Scott Bair,06/08/1978,NULL
1453,Helmut Bakaitis,14/02/1944,NULL
1454,Dragan Bakema,20/12/1980,NULL
1455,Blanche Baker,18/05/1956,NULL
1456,Christopher James Baker,06/10/1979,NULL
1457,Colin Baker,07/06/1943,NULL
1458,Dylan Baker,21/06/1959,NULL
1459,Elsie Baker,08/09/1900,22/03/1968 0:00
1460,Leigh-Allyn Baker,01/06/1972,NULL
1461,Max Baker,20/06/1989,NULL
1462,Ray Baker,10/08/1948,NULL
1463,Richard John Baker,19/11/1978,NULL
1464,Sharisse Baker-Bernard,26/08/1985,NULL
1465,Roberto Bakker,09/12/1940,20/02/2014 0:00
1466,Nikolay Boklan,01/06/1963,NULL
1467,Brigitte Bako,07/03/1967,NULL
1468,Mark Bakshi,03/05/1972,NULL
1469,Walter Bal,13/04/1939,25/10/2015 0:00
1470,Leonora Balcarce,18/03/1978,NULL
1471,David Balcorta,12/03/1976,NULL
1472,Ramón Balcázar,21/03/1980,NULL
1473,César Balestra,16/09/1979,NULL
1474,Carlo Balestrieri,08/10/1974,NULL
1475,Gojko Baletic,22/10/1956,NULL
1476,Eric Balfour,03/09/1977,NULL
1477,Michael Balfry,20/06/1988,NULL
1478,Sophie Balhetchet,07/09/1983,NULL
1479,Gene Balitski,09/04/1973,NULL
1480,Nicholas Ball,27/07/1946,NULL
1481,Sonja Ball,22/10/1956,NULL
1482,Elspeth Ballantyne,28/03/1939,NULL
1483,Reginald Ballard,03/02/1988,NULL
1484,Jorge Ballarin,17/09/1972,NULL
1485,Marcelino Ballarin,14/01/1970,NULL
1486,Armando Ballesteros,22/08/1973,NULL
1487,Roberto Ballesteros,23/09/1952,NULL
1488,Robert Ballo,21/08/1980,NULL
1489,Pedro Pascal,06/09/1975,NULL
1490,Jean-François Balmer,10/08/1946,NULL
1491,Traci Balthazor,01/01/1970,NULL
1492,Aleksandr Baluev,05/07/1958,NULL
1493,George Baluzy,13/09/1973,NULL
1494,Mike Baluzy,09/06/1987,NULL
1495,Predrag Bambic,09/08/1958,NULL
1496,Firdous Bamji,23/03/1966,NULL
1497,Marni Banack,06/10/1982,NULL
1498,Richard Band,12/11/1953,NULL
1499,Ljubomir Bandovic,23/02/1976,NULL
1500,Satya Banerjee,21/06/1925,NULL
1501,Claes Bang,26/07/1967,NULL
1502,Jacob Banigan,09/04/1977,NULL
1503,Jeremy Banks,03/04/1970,NULL
1504,Robert C. Banks,10/11/1966,NULL
1505,Tonya Reneé Banks,01/12/1980,NULL
1506,Steve Bannatyne,28/08/1976,NULL
1507,Reggie Bannister,27/03/1945,NULL
1508,John Banovich,26/09/1981,NULL
1509,Milt Banta,17/08/1922,25/09/1959 0:00
1510,Hayden Baptiste,26/11/1974,NULL
1511,Piluca Baquero,20/11/1991,NULL
1512,Avraham Bar-Orion,27/01/1972,NULL
1513,Joel Baral,09/09/1968,NULL
1514,Angela Baraldi,23/01/1964,NULL
1515,László Baranyai,26/04/1950,NULL
1516,Laurie Baranyay,10/08/1976,NULL
1517,Angelo Barbagallo,10/09/1981,NULL
1518,Shane Barbanel,03/06/1987,NULL
1519,Ernie Barbarash,21/03/1987,NULL
1520,Jason Barbeck,19/06/1980,NULL
1521,Charles L. Barbee,22/11/1974,NULL
1522,Nigel Barber,25/08/1987,NULL
1523,Joseph Barbera,16/05/1911,27/06/2006 0:00
1524,Eric Barbier,11/04/1960,NULL
1525,Walkiria Barbosa,28/10/1982,NULL
1526,Lisa Barbuscia,25/07/1969,NULL
1527,Petra Barchi,26/05/1982,NULL
1528,Gerald Barclay,22/01/1985,NULL
1529,Kerry Barden,04/06/1969,NULL
1530,Denis Bardiau,15/05/1968,NULL
1531,Pavel Bardin,13/11/1975,NULL
1532,Sergio Bardotti,05/07/1939,19/10/2007 0:00
1533,Ramón Barea,20/01/1949,NULL
1534,Alessia Barela,07/04/1974,NULL
1535,Veronica Barelli,01/07/1983,NULL
1536,Ian Barford,03/07/1966,NULL
1537,Rudy Barichello,22/02/1981,NULL
1538,Alain Baril,16/02/1983,NULL
1539,Ike Barinholtz,25/01/1977,NULL
1540,Howard Barish,15/06/1982,NULL
1541,Pete Barker,17/06/1973,NULL
1542,Paul Barkin,04/12/1983,NULL
1543,C.J. Barkus,13/04/1985,NULL
1544,Michael Barnathan,06/10/1983,NULL
1545,Edward D. Barnes,17/12/1985,NULL
1546,Cameron Barnett,16/08/1978,NULL
1547,Charlie Barnett,03/11/1986,NULL
1548,Jimbo Barnett,23/02/1977,NULL
1549,Kevin Barnett,24/01/1986,NULL
1550,Barry Barnholtz,22/07/1978,NULL
1551,Joanne Baron,08/07/1953,NULL
1552,Anita Barone,27/12/1977,NULL
1553,John Barr,20/08/1976,NULL
1554,Marie-Christine Barrault,01/09/1944,NULL
1555,Adriana Barraza,09/11/1956,NULL
1556,Alice Barrett,01/10/1975,NULL
1557,Brendon Ryan Barrett,21/05/1986,NULL
1558,Jacinda Barrett,02/01/1972,NULL
1559,Karen Barrett,11/09/1977,NULL
1560,Nicole Barrett,02/07/1976,NULL
1561,Michel Barrette,13/10/1957,NULL
1562,Chris Barrie,03/06/1960,NULL
1563,Seth Barrish,23/09/1959,NULL
1564,David Barron,12/04/1954,NULL
1565,Todd Barron,17/07/1980,NULL
1566,Olivier Baroux,12/12/1964,NULL
1567,Michael F. Barrow,18/10/1978,NULL
1568,John Blyth Barrymore,10/01/1954,NULL
1569,Peter Barsocchini,10/07/1982,NULL
1570,Gabriel Bartalos,02/07/1993,NULL
1571,Sharunas Bartas,20/08/1964,NULL
1572,Phillip J. Bartell,04/01/1976,NULL
1573,Carl Bartels,26/06/1985,NULL
1574,Raimund Barthelmes,21/01/1947,17/03/2019 0:00
1575,Paul Bartholomew,18/08/1980,NULL
1576,Eugenio Bartilotti,24/04/1976,NULL
1577,Sarah Bartles-Smith,05/01/1983,NULL
1578,Cal Bartlett,23/09/1935,NULL
1579,John S. Bartley,17/08/1976,NULL
1580,Jayce Bartok,27/05/1975,NULL
1581,Gino Bartolini,03/01/1979,NULL
1582,Adam Barton,28/04/1991,NULL
1583,Mischa Barton,02/01/1986,NULL
1584,Sean Barton,26/04/1944,NULL
1585,Mira Bartuschek,04/08/1978,NULL
1586,Siri Baruc,24/04/1978,NULL
1587,Jay Baruchel,20/03/1982,NULL
1588,Sunil Barve,09/04/1980,NULL
1589,Chris Barwell,25/11/1974,NULL
1590,Marc Bary,01/10/1964,NULL
1591,Chiara Barzini,03/08/1984,NULL
1592,Patricia Barzyk,02/07/1963,NULL
1593,Philippe Bas,04/07/1973,NULL
1594,Svetislav Basara,11/12/1953,NULL
1595,K.C. Bascombe,28/06/1966,NULL
1596,Jonis Bashir,02/08/1960,NULL
1597,Senad Basic,10/02/1962,NULL
1598,Marianne Basler,17/10/1964,NULL
1599,Valeriy Bassel,09/09/1939,NULL
1600,Angelo Bassi,03/10/1967,NULL
1601,Shekhar Bassi,12/06/1976,NULL
1602,Bob Bastarache,01/07/1974,NULL
1603,Dean Bastounes,09/01/1979,NULL
1604,Tom Bastounes,26/06/1984,NULL
1605,Scott Bate,14/11/1990,NULL
1606,Tyler Bates,26/07/1965,NULL
1607,Jean-Paul Bathany,20/10/1971,NULL
1608,Marc-André Batigne,05/12/1981,NULL
1609,Tom Batoy,14/02/1972,NULL
1610,Gino Battaglia,11/07/1980,NULL
1611,Kim Batterham,04/06/1955,NULL
1612,Gérard de Battista,24/05/1946,NULL
1613,Belinda Bauer,06/09/1984,NULL
1614,Sam Bauer,08/04/1977,NULL
1615,Brian Baugh,25/05/1981,NULL
1616,Signe Baumane,22/11/1981,NULL
1617,Hank Baumert Jr.,04/02/1971,NULL
1618,Hank Baumert,03/07/1988,NULL
1619,Craig Baumgarten,10/04/1949,NULL
1620,Heinrich Baumgartner,27/08/1983,NULL
1621,John Baumgartner,20/10/1971,NULL
1622,Karl Baumgartner,14/01/1949,06/09/2014 0:00
1623,Kalimi Baxter,05/09/1988,NULL
1624,Pete Baxter,12/02/1981,NULL
1625,Søren Bay,17/02/1966,NULL
1626,Lawrence Bayne,04/07/1960,NULL
1627,Álvaro Bayona,20/01/1979,NULL
1628,Cecilia Bayonas,10/06/1977,NULL
1629,Okan Bayülgen,19/03/1964,NULL
1630,Lisa Bazadona,10/04/1985,NULL
1631,Jean-Pierre Bazerolle,22/11/1984,NULL
1632,Roque Baños,05/05/1968,NULL
1633,Adam Beach,17/02/1972,NULL
1634,Wayne Beach,18/07/1967,NULL
1635,Jeff Beal,26/02/1963,NULL
1636,Rob Beams,06/03/1973,NULL
1637,Jane Beard,12/08/1981,NULL
1638,Michael Bearden,08/12/1972,NULL
1639,Jamie Beardsley,18/10/1978,NULL
1640,Bradley Beesley,12/08/1983,NULL
1641,Cynthia Beatt,23/12/1949,NULL
1642,Chris Beattie,05/01/1977,NULL
1643,Stuart Beattie,05/05/1973,NULL
1644,Annie Beauchamp,06/09/1986,NULL
1645,Pete Beaudreau,22/11/1981,NULL
1646,Marcel Beaulieu,25/06/1980,NULL
1647,André-Line Beauparlant,18/10/1982,NULL
1648,Xavier Beauvois,19/07/1967,NULL
1649,Jim Beaver,21/05/1950,NULL
1650,Mario Becerra,16/02/1974,NULL
1651,Fernando Becerril,03/09/1944,11/09/2023 0:00
1652,Demián Bichir,22/01/1963,NULL
1653,Brenda Beck,05/02/1974,NULL
1654,Christophe Beck,25/06/1968,NULL
1655,Ivo-Alexander Beck,15/01/1964,NULL
1656,Steve Beck,16/02/1980,NULL
1657,Albrecht Becker,12/02/1906,16/08/2002 0:00
1658,Christian Becker,17/08/1972,NULL
1659,Kuno Becker,11/08/1978,NULL
1660,Louis Becker,08/08/1976,NULL
1661,Hal Beckett,23/02/1978,NULL
1662,John Beckett,06/05/1979,NULL
1663,Michael Beckley,28/11/1963,NULL
1664,Timothy Beckley,19/02/1952,20/06/2021 0:00
1665,Adam Beckman,11/11/1978,NULL
1666,Ron Becks,06/02/1975,NULL
1667,Robert E. Beckwith,08/11/1986,NULL
1668,Irene Bedard,23/01/1967,NULL
1669,Jamie Beddard,03/05/1975,NULL
1670,Michael Bederman,15/12/1975,NULL
1671,Peter Bedgood,16/03/1967,NULL
1672,Ramzy Bedia,15/10/1972,NULL
1673,Jean Bediebe,13/12/1977,NULL
1674,Gerry Bednob,25/05/1935,NULL
1675,Kenny Bee,24/10/1952,NULL
1676,Herman Beeftink,11/03/1953,NULL
1677,Jules Beesley,04/05/1977,NULL
1678,Max Befort,18/12/1989,NULL
1679,Brendan Behan,06/10/1923,19/06/1964 0:00
1680,Roshanak Behesht Nedjad,23/07/1972,NULL
1681,Willi Behnisch,10/11/1956,NULL
1682,Lukas Behnken,02/04/1979,NULL
1683,Kathleen Behun,27/11/1978,NULL
1684,Ankie Beilke,21/09/1980,NULL
1685,Larry Beinhart,25/05/1972,NULL
1686,Andrzej Beja-Zaborski,06/08/1951,NULL
1687,Jeroen Beker,14/01/1966,NULL
1688,Timur Bekmambetov,22/09/1961,NULL
1689,Marta Belaustegui,06/05/1966,NULL
1690,Jordan Belfi,14/01/1980,NULL
1691,Fatma Belgen,07/03/1949,NULL
1692,Bertrand Belin,11/09/1992,NULL
1693,Mariya Belkina,22/04/1954,NULL
1694,A. Dean Bell,24/03/1982,NULL
1695,Ashley Bell,22/09/1986,NULL
1696,Emma Bell,02/01/1986,NULL
1697,Jamie Bell,23/08/1986,NULL
1698,Marshall Bell,23/06/1942,NULL
1699,Tobin Bell,15/05/1942,NULL
1700,Germano Bellavia,20/01/1970,NULL
1701,Marty Beller,18/01/1979,NULL
1702,Gina Bellman,13/06/1966,NULL
1703,Carlos Belloso,17/12/1963,NULL
1704,Andrew Bellware,22/11/1978,NULL
1705,Yasmine Belmadi,22/03/1976,07/12/2009 0:00
1706,Jerry Belson,24/12/1938,06/11/2006 0:00
1707,Anatoliy Belyy,04/01/1972,NULL
1708,Fatma Ben Saïdane,27/02/1949,NULL
1709,Dori Ben-Ze'ev,20/03/1949,NULL
1710,Rick Benattar,06/08/1973,NULL
1711,Osvaldo Benavides,27/08/1979,NULL
1712,Steve Bencich,18/09/1977,NULL
1713,Steve Bendelack,26/01/1977,NULL
1714,Luca Benedetti,19/07/1969,NULL
1715,Sinan Bengier,28/10/1948,NULL
1716,H. Jon Benjamin,03/02/1966,NULL
1717,Shaun T. Benjamin,24/07/1984,NULL
1718,Tina Benko,05/01/1978,NULL
1719,Eugenio Bennato,14/02/1948,NULL
1720,John M. Bennett,10/12/1985,NULL
1721,Manu Bennett,19/02/1969,NULL
1722,Faouzi Bensaïdi,05/09/1967,NULL
1723,Alison Benson,11/03/1980,NULL
1724,Amber Benson,24/07/1977,NULL
1725,Nils Benson,20/08/1983,NULL
1726,Perry Benson,09/04/1961,NULL
1727,Shaun Benson,28/07/1976,NULL
1728,Stephan Benson,06/11/1964,NULL
1729,Fabrizio Bentivoglio,18/09/1957,NULL
1730,Rowena Bentley,09/10/1983,NULL
1731,Spragga Benz,15/07/1978,NULL
1732,Murilo Benício,05/02/1972,NULL
1733,Agustín Bernal,09/08/1959,14/03/2018 0:00
1734,Oliver Berben,24/05/1971,NULL
1735,Emmanuelle Bercot,11/01/1967,NULL
1736,Jean-Denis Berembaum,16/04/1976,NULL
1737,Matt Berenson,10/03/1968,NULL
1738,Alec Berg,02/11/1991,NULL
1739,Rudolf van den Berg,23/11/1949,NULL
1740,Sofia Berg-Böhm,28/10/1977,NULL
1741,Sonia Bergamasco,05/02/1966,NULL
1742,Bernard Berge,26/11/1981,NULL
1743,Glenn Berger,13/09/1981,NULL
1744,Sarah Berger,25/08/1960,NULL
1745,Jean-François Bergeron,11/02/1977,NULL
1746,Paul Mayeda Berges,04/02/1968,NULL
1747,Fiona Bergin,20/01/1980,NULL
1748,Bernard Bergman,24/05/1978,NULL
1749,Efrem Bergman,04/12/1981,NULL
1750,Ram Bergman,16/08/1978,NULL
1751,Robert Bergman,17/10/1975,NULL
1752,Meredith Bergmann,04/03/1986,NULL
1753,Kjell Bergqvist,27/12/1953,NULL
1754,Giorgi Beridze,21/02/1954,01/04/2014 0:00
1755,Xander Berkeley,04/05/1955,NULL
1756,Gábor Berkes,25/01/1961,NULL
1757,José Luis García Berlanga,04/08/1982,NULL
1758,Kim Berlin,04/07/1972,NULL
1759,Roshelle Berliner,24/05/1984,NULL
1760,Charles Berling,09/10/1958,NULL
1761,Martin Berléand,17/09/1994,NULL
1762,Agathe Berman,12/07/1972,NULL
1763,Al Berman,09/01/1987,NULL
1764,Claudia Bernal,17/05/1958,NULL
1765,Lorena Bernal,26/06/1981,NULL
1766,Patricia Bernal,10/03/1961,NULL
1767,Jean-Michel Bernard,28/04/1961,NULL
1768,Olivier Bernard,09/10/1981,NULL
1769,Paul F. Bernard,13/11/1987,NULL
1770,Sabine Bernardi,27/05/1974,NULL
1771,Alexander Berner,08/04/1966,NULL
1772,Fred Berner,16/04/1988,NULL
1773,Chopper Bernet,02/03/1963,NULL
1774,Kevin Bernhardt,03/07/1982,NULL
1775,Jonathan Bernstein,11/04/1985,NULL
1776,Marcos Bernstein,11/12/1970,NULL
1777,Eric Bernt,23/11/1975,NULL
1778,Egor Beroev,14/07/1977,NULL
1779,Zoe Berriatúa,21/10/1978,NULL
1780,Jackie Berroyer,07/12/1946,NULL
1781,Broatch Berry,12/06/1977,NULL
1782,Dorothée Berryman,02/07/1948,NULL
1783,Michael Berryman,07/12/1948,NULL
1784,Ágnes Bertalan,15/04/1968,NULL
1785,Anders W. Berthelsen,15/09/1969,NULL
1786,Diego Bertie,18/08/1967,04/07/2022 0:00
1787,Gene Bervoets,12/04/1956,NULL
1788,Carlo Besasie,21/11/1975,NULL
1789,Bobby Beshro,05/03/1970,NULL
1790,Shanda Lee Munson,11/09/1983,NULL
1791,Carl Bessai,19/05/1986,NULL
1792,Matt Besser,06/09/1967,NULL
1793,Reinhard Besser,03/10/1984,NULL
1794,Claudia Besso,21/01/1988,NULL
1795,Ben Best,28/06/1974,11/06/2021 0:00
1796,Dorothy Best,12/09/1948,NULL
1797,James Best,04/11/1926,27/10/2015 0:00
1798,Mara Bestelli,18/03/1981,NULL
1799,Peter Beston,02/11/1977,NULL
1800,David Betances,27/09/1975,NULL
1801,Paul Bettany,11/11/1971,NULL
1802,Paul Bettis,08/11/1940,19/03/2005 0:00
1803,Shana Betz,10/09/1983,NULL
1804,Robert Beitzel,03/07/1980,NULL
1805,Tim Bevan,06/09/1957,NULL
1806,Joe Bevilacqua,06/05/1983,NULL
1807,Camilo Beviláqua,20/05/1949,NULL
1808,Nathan Bexton,25/07/1977,NULL
1809,Alexander Beyer,12/02/1973,NULL
1810,Brad Beyer,09/10/1973,NULL
1811,Hermann Beyer,24/01/1943,NULL
1812,Didier Bezace,14/01/1946,25/03/2020 0:00
1813,Raoul Bhaneja,18/05/1974,NULL
1814,Bhasker Patel,13/02/1956,NULL
1815,Peter Biagi,06/06/1963,NULL
1816,Nanette Bianchi,09/05/1981,NULL
1817,Brian Bianchini,16/06/1978,26/05/2004 0:00
1818,Allison Bibicoff,13/12/1977,NULL
1819,Daniel Bickel,26/01/1961,NULL
1820,James Bickert,10/05/1967,NULL
1821,Andrew Bicknell,16/05/1975,NULL
1822,Eduardo Bid,05/06/1982,NULL
1823,Arturo Bidart,13/08/1979,NULL
1824,Fernando Bidart,08/10/1978,NULL
1825,Jean-Luc Bideau,12/09/1940,NULL
1826,Victoria Bidewell,20/10/1978,NULL
1827,Héctor Bidonde,21/03/1937,16/01/2024 0:00
1828,Fabián Bielinsky,20/11/1959,21/04/2006 0:00
1829,Christian Bielz,19/03/1974,NULL
1830,Luca Bigazzi,01/09/1958,NULL
1831,Daniel Bigel,09/07/1985,NULL
1832,Luca Biglione,16/11/1981,NULL
1833,Alin Bijan,02/05/1986,NULL
1834,Miro Bilbrough,01/01/1975,NULL
1835,Paul Feig,27/05/1962,NULL
1836,George Billinger III,11/06/1988,NULL
1837,John Billingsley,08/04/1960,NULL
1838,Emmanuel Bilodeau,07/02/1964,NULL
1839,Wael Binali,04/11/1968,NULL
1840,Mark Binder,08/07/1972,NULL
1841,Rodney Bingenheimer,13/12/1947,NULL
1842,Yavuz Bingöl,06/06/1964,NULL
1843,Alfredo Bini,21/07/1926,16/06/2010 0:00
1844,Lisa Binkley,06/10/1972,NULL
1845,Gary Binkow,19/11/1962,NULL
1846,Jon Binkowski,12/03/1958,NULL
1847,Antonio Birabent,17/04/1969,NULL
1848,Andrew Bird,19/09/1956,NULL
1849,Christopher Bird,19/11/1979,NULL
1850,Roberto Birindelli,19/11/1987,NULL
1851,Ole Bratt Birkeland,07/09/1982,NULL
1852,Francesco Biscione,21/06/1980,NULL
1853,Catherine Bishop,27/01/1975,NULL
1854,Kelly Bishop,17/02/1944,NULL
1855,Kirsten Bishop,14/12/1963,22/08/2014 0:00
1856,Claudio Bisio,05/04/1957,NULL
1857,Rudolf Bissegger,09/05/1973,NULL
1858,Joaquín Bissner,20/12/1962,NULL
1859,Sandrine Bisson,03/10/1975,NULL
1860,Seema Biswas,18/10/1965,NULL
1861,Shane Bitterling,01/11/1985,NULL
1862,Penny Bittone,18/09/1986,NULL
1863,Emerson Bixby,05/07/1963,NULL
1864,Giancarlo Bizzarri,09/10/1980,NULL
1865,Aziz Bizzi,12/04/1981,NULL
1866,Predrag Bjelac,13/02/1962,NULL
1867,Trond Bjerknes,16/05/1958,NULL
1868,Claus Bjerre,06/04/1959,NULL
1869,Stine Bjerregaard,10/01/1986,NULL
1870,Angie Black,08/12/1986,NULL
1871,Claudia Black,27/05/1972,NULL
1872,Jack Black,03/10/1969,NULL
1873,Todd Black,19/04/1960,NULL
1874,Kristine Blackburn,24/01/1984,NULL
1875,Gregg Elder,13/09/1977,NULL
1876,Kaja Blackley,15/02/1986,NULL
1877,Sean Blackman,15/03/1969,NULL
1878,Stephen Blackman,20/05/1957,15/04/2012 0:00
1879,Abigail Blackmore,24/03/1988,NULL
1880,Michael Blackson,02/12/1972,NULL
1881,Ken Blackwell,26/05/1980,NULL
1882,Nathan Blackwell,24/03/1976,NULL
1883,Rus Blackwell,23/03/1973,NULL
1884,Andy Blackwood,05/09/1961,NULL
1885,Vas Blackwood,14/12/1962,NULL
1886,Bre Blair,08/03/1980,NULL
1887,Isabelle Blais,02/06/1975,NULL
1888,Andre B. Blake,16/08/1976,NULL
1889,Barry Blake,03/12/1979,NULL
1890,Rachael Blake,25/03/1971,NULL
1891,Lee Blakemore,23/06/1982,NULL
1892,Claudie Blakley,06/02/1973,NULL
1893,Jolene Blalock,19/06/1975,NULL
1894,Nicolas Blanc,24/09/1980,NULL
1895,Philippe Blancher,18/12/1976,NULL
1896,Blanca Rosa Blanco,17/11/1972,NULL
1897,Mark Blaney,26/10/1969,NULL
1898,Richard Blanshard,23/12/1954,NULL
1899,Ramiro Blas,23/09/1966,NULL
1900,Philippe Blasband,21/07/1964,NULL
1901,Rosa Blasi,14/07/1978,NULL
1902,Steven M. Blasini,14/05/1962,NULL
1903,Péter Blaskó,27/06/1948,NULL
1904,Assen Blatechki,21/07/1971,NULL
1905,Filip Blazek,01/03/1973,NULL
1906,Joe Bleakley,13/05/1978,NULL
1907,Alexis Bledel,11/01/1981,NULL
1908,Jerry Bledsoe,14/12/1982,NULL
1909,Ehud Bleiberg,08/08/1983,NULL
1910,Jason Blicker,16/01/1990,NULL
1911,Boti Bliss,22/11/1967,NULL
1912,John Blizek,27/03/1977,NULL
1913,Peter Block,26/03/1975,NULL
1914,Suziey Block,25/06/1978,NULL
1915,Floria Bloise,09/03/1929,04/10/2012 0:00
1916,Alan C. Blomquist,01/08/1982,NULL
1917,Régis Blondeau,06/06/1976,NULL
1918,David Blood,08/09/1980,NULL
1919,Jason Bloom,16/08/1982,NULL
1920,Orlando Bloom,14/07/1977,NULL
1921,Marc Blucas,04/05/1972,NULL
1922,Callum Blue,04/03/1977,NULL
1923,Jason Blum,12/10/1969,NULL
1924,Len Blum,19/04/1951,NULL
1925,Alan Blumenfeld,09/04/1952,NULL
1926,Hank Blumenthal,21/02/1963,NULL
1927,Jason Blumenthal,14/05/1986,NULL
1928,Chris Blunden,08/08/1956,NULL
1929,Lothaire Bluteau,04/05/1980,NULL
1930,Eric Blyler,18/05/1970,NULL
1931,Enid Blyton,08/09/1900,22/03/1968 0:00
1932,Lee Boardman,05/01/1972,NULL
1933,Michael Boatman,28/04/1964,NULL
1934,Bobote,10/02/1985,NULL
1935,Szymon Bobrowski,15/01/1972,NULL
1936,Elisa Bocanegra,25/08/1967,NULL
1937,Kevin Bocarde,05/04/1980,NULL
1938,Cesare Bocci,10/08/1957,NULL
